day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88
43.8,43.9,43.9,44.2,44.7,45.3,46.5,48.6,50.8,51.7,43.1,43.4,44.0,44.6,45.3,46.2,47.6,49.9,52.2,52.8,53.2,52.9,52.7,51.6,49.5,45.9,43.3,43.4,43.6,43.8,44.0,44.1,44.4,45.0,44.9,45.2,45.3,45.9,46.5,47.5,49.0,51.6,52.9,53.5,53.5,53.2,53.0,52.0,50.4,47.1,44.1,43.7,43.5,43.6,43.8,44.3,44.2,44.2,44.1,44.2,44.6,45.0,45.7,46.7,48.5,50.2,50.9,51.3,51.7,51.7,51.4,50.6,49.4,47.3,44.5,42.9,43.1,43.5,43.9,44.3,44.6,44.7,45.0,45.4,46.0,46.8,47.6,48.9,50.9
43.5,43.6,43.7,43.8,44.1,44.6,45.3,46.5,48.6,50.9,42.9,43.3,43.7,44.2,44.7,45.5,46.3,47.7,50.1,52.3,52.9,53.2,52.9,52.6,51.7,49.5,45.7,43.6,43.5,43.6,43.6,44.0,44.3,44.6,44.8,44.8,45.1,45.4,46.0,46.5,47.6,49.2,51.7,53.0,53.6,53.5,53.3,53.0,52.1,50.4,47.5,44.1,43.5,43.3,43.6,43.7,44.0,43.9,43.8,43.8,44.1,44.5,44.9,45.5,46.8,48.5,50.1,51.0,51.5,51.9,51.9,51.3,50.6,49.6,47.5,44.7,43.2,43.3,43.7,44.0,44.2,44.5,44.7,44.9,45.5,46.2,46.9,47.7,49.0
43.2,43.3,43.4,43.5,43.7,44.0,44.5,45.2,46.4,48.7,42.8,43.0,43.5,43.9,44.4,44.9,45.6,46.5,47.9,50.3,52.4,53.0,53.1,52.9,52.6,51.7,49.6,45.9,43.6,43.5,43.5,43.8,44.2,44.5,44.4,44.6,44.8,45.2,45.5,46.0,46.7,47.8,49.3,51.9,53.2,53.5,53.6,53.3,53.0,52.1,50.8,47.5,43.9,43.2,43.3,43.5,43.5,43.6,43.4,43.6,43.8,44.0,44.4,44.8,45.6,46.8,48.5,50.2,51.3,51.7,52.0,51.9,51.3,50.8,49.7,47.7,45.0,43.4,43.5,43.8,43.9,44.1,44.5,44.6,45.1,45.7,46.2,47.0,47.8
43.1,43.1,43.1,43.3,43.3,43.6,44.0,44.5,45.2,46.5,42.5,42.9,43.3,43.7,44.0,44.6,45.0,45.8,46.6,48.1,50.4,52.4,52.9,53.1,53.0,52.7,51.8,49.7,46.0,43.6,43.3,43.6,44.1,44.5,44.3,44.3,44.7,44.9,45.3,45.4,46.2,46.9,47.9,49.5,52.0,53.2,53.7,53.6,53.3,53.0,52.3,50.8,47.3,43.7,43.1,43.2,43.3,43.1,43.1,43.3,43.6,43.6,43.8,44.3,44.8,45.5,46.8,48.6,50.4,51.4,51.8,52.0,51.8,51.4,50.9,49.9,47.9,45.3,43.6,43.6,43.7,43.8,44.1,44.4,44.7,45.2,45.8,46.3,47.1
43.0,42.9,43.0,43.0,43.0,43.3,43.6,43.9,44.4,45.2,42.5,42.6,43.2,43.5,43.9,44.2,44.7,45.2,45.9,46.8,48.3,50.5,52.4,53.0,53.2,53.1,52.8,51.8,49.8,46.0,43.5,43.4,43.9,44.3,44.1,44.2,44.2,44.8,44.9,45.2,45.6,46.5,47.0,48.1,49.6,52.1,53.3,53.7,53.6,53.3,53.2,52.2,50.5,47.2,43.6,43.0,43.0,42.9,42.7,43.0,43.3,43.3,43.4,43.7,44.3,44.8,45.6,46.9,48.8,50.6,51.5,51.9,51.9,51.9,51.6,51.1,50.1,48.2,45.5,43.7,43.5,43.6,43.8,44.1,44.6,44.9,45.3,45.8,46.3
43.0,42.8,42.7,42.9,42.8,43.0,43.2,43.4,43.9,44.4,42.3,42.6,42.9,43.4,43.6,44.1,44.2,44.9,45.3,46.1,47.1,48.3,50.6,52.5,53.1,53.3,53.2,52.9,51.9,49.8,45.9,43.7,43.7,44.1,44.0,44.0,44.2,44.4,44.7,44.9,45.3,45.9,46.6,47.2,48.1,49.6,52.2,53.3,53.7,53.7,53.5,53.0,52.1,50.3,47.1,43.5,42.8,42.6,42.5,42.5,42.9,43.1,43.2,43.3,43.8,44.3,44.9,45.6,47.0,49.0,50.8,51.5,51.8,52.0,52.0,51.7,51.2,50.3,48.4,45.6,43.6,43.5,43.6,43.7,44.3,44.7,44.9,45.3,45.8
42.7,42.8,42.6,42.7,42.7,42.8,42.9,43.2,43.5,43.9,42.3,42.3,42.9,43.1,43.5,43.8,44.1,44.4,45.0,45.6,46.4,47.1,48.3,50.6,52.6,53.2,53.3,53.2,52.9,51.9,49.8,46.0,43.9,43.9,43.7,43.8,44.0,44.3,44.3,44.7,45.1,45.6,46.0,46.6,47.1,48.2,49.8,52.3,53.3,53.7,53.9,53.4,52.8,51.8,50.2,47.0,43.3,42.4,42.1,42.3,42.5,42.7,42.9,43.0,43.3,43.8,44.3,44.8,45.7,47.2,49.1,50.8,51.4,51.9,52.1,52.2,51.9,51.5,50.4,48.5,45.6,43.5,43.5,43.6,44.0,44.3,44.7,44.9,45.3
42.7,42.5,42.6,42.6,42.4,42.6,42.7,42.9,43.2,43.5,42.0,42.3,42.6,43.1,43.3,43.7,43.7,44.3,44.7,45.3,45.8,46.5,47.1,48.4,50.7,52.7,53.2,53.4,53.1,52.9,51.8,49.8,46.2,44.0,43.5,43.5,43.9,44.1,44.2,44.4,44.9,45.3,45.6,46.1,46.6,47.1,48.3,49.9,52.3,53.3,53.9,53.6,53.1,52.5,51.7,50.2,47.0,43.0,41.9,41.9,42.3,42.3,42.7,42.9,43.0,43.3,43.8,44.3,44.9,46.0,47.4,49.2,50.8,51.5,52.0,52.3,52.4,52.2,51.6,50.5,48.4,45.6,43.6,43.5,43.8,44.0,44.4,44.7,44.9
42.6,42.5,42.4,42.4,42.3,42.4,42.5,42.7,43.0,43.1,41.8,42.1,42.6,42.9,43.2,43.5,43.7,44.0,44.5,45.0,45.4,45.8,46.4,47.2,48.4,50.8,52.7,53.3,53.3,53.2,52.8,51.8,49.8,46.3,43.7,43.4,43.6,44.1,44.0,44.2,44.6,45.1,45.4,45.6,46.0,46.6,47.2,48.3,49.9,52.3,53.4,53.7,53.4,52.9,52.5,51.6,50.1,46.7,42.6,41.8,41.9,42.0,42.2,42.5,42.9,43.1,43.3,43.7,44.4,45.1,46.1,47.4,49.3,50.8,51.6,52.2,52.6,52.6,52.4,51.7,50.4,48.5,45.8,43.6,43.7,43.9,44.0,44.3,44.7
44.7,42.4,42.4,42.3,42.3,42.3,42.3,42.5,42.7,42.9,44.0,41.9,42.4,42.9,43.0,43.4,43.5,43.8,44.2,44.8,45.1,45.4,45.8,46.4,47.2,48.4,50.8,52.8,53.3,53.3,53.0,52.8,51.7,49.8,46.1,43.5,43.5,43.7,44.0,44.0,44.3,44.8,45.2,45.4,45.5,46.0,46.6,47.2,48.3,50.0,52.5,53.2,53.4,53.1,52.9,52.3,51.5,49.8,46.4,42.6,41.7,41.7,42.0,42.2,42.5,42.9,43.0,43.3,43.8,44.5,45.3,46.1,47.4,49.4,50.9,51.8,52.5,52.8,52.9,52.4,51.5,50.4,48.6,45.9,43.8,43.8,43.9,44.0,44.4
47.8,44.6,42.1,42.3,42.1,42.2,42.2,42.3,42.6,42.6,47.6,44.0,42.2,42.7,43.1,43.0,43.4,43.6,43.9,44.5,45.0,45.2,45.4,45.8,46.5,47.2,48.4,51.0,52.8,53.4,53.2,53.0,52.8,51.6,49.5,46.0,43.6,43.6,43.7,44.0,44.1,44.5,44.9,45.1,45.3,45.5,46.1,46.6,47.2,48.5,50.1,52.3,52.9,53.1,53.1,52.8,52.2,51.1,49.4,46.3,42.6,41.5,41.6,42.0,42.2,42.6,42.8,43.0,43.4,44.0,44.7,45.3,46.2,47.6,49.5,51.2,52.1,52.6,53.1,52.8,52.2,51.5,50.5,48.7,46.2,43.9,43.9,43.9,44.1
49.9,47.8,44.4,42.0,42.2,42.1,42.1,42.2,42.4,42.5,50.1,47.7,44.3,42.4,42.9,43.1,43.0,43.5,43.7,44.2,44.6,45.0,45.1,45.4,45.9,46.3,47.1,48.5,51.0,52.8,53.2,53.2,52.9,52.7,51.4,49.5,46.1,43.8,43.5,43.6,44.1,44.3,44.6,44.8,45.0,45.3,45.6,46.1,46.6,47.5,48.6,50.1,52.0,52.7,53.0,52.9,52.7,51.8,50.9,49.2,46.3,42.5,41.4,41.7,41.9,42.3,42.5,42.8,43.1,43.5,44.2,44.7,45.4,46.4,47.7,49.8,51.4,52.2,52.8,53.1,52.7,52.3,51.6,50.6,48.9,46.3,44.0,43.9,43.9
51.0,50.0,47.6,44.2,41.9,42.1,42.0,42.1,42.3,42.2,51.5,50.2,47.9,44.5,42.6,43.0,43.1,43.2,43.7,44.0,44.4,44.7,44.9,45.1,45.5,45.8,46.2,47.2,48.5,51.1,52.7,53.2,53.1,52.8,52.5,51.4,49.6,46.2,43.7,43.5,43.8,44.3,44.3,44.5,44.6,45.0,45.4,45.6,46.0,46.8,47.5,48.5,49.8,51.8,52.5,52.8,52.8,52.4,51.5,50.6,49.1,46.3,42.5,41.4,41.6,42.1,42.2,42.4,42.9,43.3,43.7,44.2,44.9,45.6,46.6,48.0,50.0,51.5,52.4,52.8,53.0,52.7,52.3,51.7,50.7,49.1,46.5,43.9,43.9
51.5,51.1,49.9,47.5,44.1,41.8,42.0,42.0,42.1,42.2,51.9,51.6,50.4,48.2,44.8,42.7,43.0,43.2,43.4,44.0,44.2,44.4,44.6,44.9,45.3,45.4,45.7,46.3,47.2,48.5,51.0,52.6,53.2,52.9,52.7,52.5,51.6,49.8,46.2,43.7,43.7,43.9,44.3,44.2,44.4,44.7,45.1,45.4,45.6,46.3,46.8,47.5,48.2,49.6,51.7,52.4,52.6,52.5,52.0,51.4,50.6,49.0,46.2,42.5,41.3,41.8,42.0,42.2,42.5,43.1,43.5,43.7,44.4,45.1,45.8,46.8,48.2,50.1,51.6,52.4,52.8,53.0,52.8,52.5,51.8,50.9,49.2,46.5,43.9
51.6,51.6,51.0,49.8,47.5,44.1,41.7,41.9,42.0,42.0,52.0,52.0,51.9,50.7,48.4,44.9,42.7,43.1,43.4,43.7,44.2,44.2,44.3,44.5,45.1,45.2,45.4,45.8,46.3,47.1,48.4,51.0,52.7,53.0,52.8,52.7,52.6,51.7,49.8,46.3,43.9,43.8,43.9,44.1,44.1,44.6,44.7,45.0,45.4,45.8,46.3,46.8,47.3,48.1,49.6,51.5,52.2,52.4,52.1,51.9,51.3,50.4,48.9,46.2,42.5,41.6,41.7,41.9,42.3,42.7,43.3,43.4,43.9,44.6,45.2,46.0,47.0,48.3,50.3,51.6,52.3,52.8,53.1,52.9,52.6,51.9,50.9,49.3,46.6
51.6,51.7,51.5,51.1,49.9,47.5,43.9,41.6,41.9,41.9,51.9,52.1,52.2,52.1,50.9,48.5,44.9,42.9,43.3,43.7,43.9,44.2,44.1,44.3,44.7,44.9,45.2,45.4,45.8,46.2,47.0,48.5,51.1,52.5,52.9,52.9,52.9,52.7,51.6,49.8,46.5,44.0,43.8,43.8,43.9,44.2,44.5,44.7,45.1,45.6,45.8,46.3,46.6,47.0,48.0,49.5,51.3,52.0,52.0,52.0,51.8,51.2,50.2,48.9,46.2,42.7,41.5,41.7,42.1,42.5,42.9,43.2,43.7,44.2,44.7,45.4,46.2,47.2,48.5,50.3,51.5,52.4,52.9,53.2,53.0,52.7,51.9,51.0,49.2
50.7,51.6,51.6,51.5,51.2,49.9,47.4,43.7,41.6,41.8,51.2,51.9,52.3,52.3,52.3,51.0,48.7,45.1,43.2,43.6,43.8,43.8,44.0,44.1,44.4,44.5,44.9,45.3,45.4,45.7,46.1,47.2,48.7,51.0,52.4,52.9,53.0,53.0,52.7,51.7,49.9,46.6,44.0,43.7,43.6,44.0,44.1,44.5,44.7,45.3,45.7,45.8,46.1,46.3,47.0,47.9,49.3,51.1,51.7,51.8,51.9,51.7,51.0,50.2,49.0,46.2,42.9,41.5,41.9,42.2,42.7,42.9,43.5,44.0,44.3,45.0,45.6,46.4,47.3,48.5,50.2,51.5,52.5,53.1,53.3,53.1,52.8,52.1,51.0
48.5,50.7,51.6,51.6,51.6,51.2,49.9,47.3,43.7,41.5,49.0,51.4,52.1,52.5,52.5,52.3,51.2,48.9,45.4,43.5,43.6,43.7,43.6,44.0,44.2,44.2,44.6,44.9,45.3,45.3,45.7,46.3,47.4,48.6,50.9,52.4,53.0,53.1,52.9,52.8,51.8,49.9,46.8,43.8,43.6,43.7,43.9,44.0,44.5,45.0,45.3,45.5,45.6,45.9,46.3,46.8,47.7,49.1,50.8,51.4,51.7,51.7,51.4,50.9,50.3,48.8,46.3,42.9,41.7,42.0,42.4,42.7,43.1,43.8,44.1,44.5,45.2,45.8,46.6,47.3,48.4,50.2,51.6,52.6,53.3,53.5,53.1,53.1,52.1
46.7,48.5,50.7,51.6,51.7,51.6,51.2,49.8,47.4,43.7,46.8,49.1,51.5,52.2,52.6,52.6,52.4,51.4,49.2,45.7,43.6,43.6,43.6,43.6,44.1,44.1,44.3,44.6,44.9,45.2,45.2,45.8,46.5,47.3,48.5,50.9,52.6,53.2,53.0,53.0,52.9,51.7,50.2,46.8,43.7,43.6,43.6,43.9,44.0,44.8,45.0,45.2,45.3,45.4,45.9,46.0,46.6,47.4,48.8,50.6,51.3,51.5,51.5,51.4,51.0,50.1,48.8,46.4,43.2,41.9,42.2,42.4,42.9,43.4,43.8,44.4,44.7,45.4,46.0,46.5,47.2,48.4,50.3,51.7,52.8,53.3,53.6,53.4,53.0
45.7,46.6,48.6,50.8,51.6,51.7,51.7,51.2,49.8,47.4,45.5,46.9,49.3,51.6,52.4,52.7,52.7,52.6,51.5,49.4,45.7,43.6,43.4,43.5,43.7,44.0,44.2,44.3,44.7,44.8,45.1,45.4,45.9,46.3,47.2,48.5,51.1,52.7,53.1,53.1,53.1,52.8,51.9,50.3,46.9,43.8,43.5,43.6,43.9,44.3,44.8,44.9,45.0,45.2,45.4,45.6,45.7,46.3,47.2,48.7,50.5,51.1,51.3,51.4,51.5,50.8,50.1,49.0,46.6,43.5,42.1,42.1,42.7,43.1,43.5,44.1,44.6,45.0,45.6,45.9,46.5,47.2,48.5,50.5,51.9,52.9,53.4,53.8,53.3
45.0,45.6,46.6,48.6,50.8,51.5,51.7,51.6,51.3,49.9,44.8,45.7,47.1,49.4,51.8,52.4,52.8,53.0,52.7,51.6,49.4,45.8,43.5,43.5,43.6,43.5,44.1,44.2,44.3,44.6,44.8,45.3,45.6,45.9,46.2,47.2,48.7,51.3,52.7,53.2,53.2,53.1,53.0,52.1,50.3,46.9,43.8,43.5,43.5,44.0,44.2,44.6,44.7,44.9,45.0,45.1,45.3,45.4,45.9,47.1,48.7,50.3,50.9,51.3,51.5,51.3,50.9,50.2,49.2,46.9,43.7,42.1,42.4,42.9,43.2,43.8,44.3,44.8,45.1,45.5,45.9,46.4,47.3,48.6,50.6,52.0,53.0,53.6,53.7
44.5,44.8,45.5,46.5,48.5,50.8,51.6,51.7,51.7,51.4,44.2,44.9,45.9,47.3,49.6,52.0,52.5,53.1,53.0,52.7,51.6,49.4,45.8,43.5,43.5,43.4,43.6,44.1,44.2,44.2,44.6,44.9,45.5,45.4,45.8,46.2,47.4,48.8,51.3,52.7,53.2,53.3,53.3,53.1,52.0,50.3,46.9,43.8,43.5,43.8,44.0,44.0,44.5,44.6,44.8,44.7,44.8,44.9,45.1,45.9,47.0,48.5,50.1,50.9,51.3,51.3,51.4,51.1,50.4,49.4,47.0,43.8,42.4,42.7,43.1,43.5,44.0,44.6,44.9,45.0,45.4,45.9,46.5,47.4,48.8,50.8,52.1,53.1,53.6
44.1,44.3,44.8,45.4,46.5,48.6,50.9,51.6,51.8,51.8,43.8,44.3,45.1,46.0,47.5,49.8,52.1,52.8,53.1,53.0,52.7,51.6,49.4,45.9,43.5,43.3,43.5,43.8,44.1,44.0,44.2,44.8,45.2,45.3,45.3,45.8,46.3,47.5,48.9,51.4,52.8,53.2,53.5,53.4,53.0,52.0,50.4,47.0,43.9,43.7,43.8,43.8,43.8,44.4,44.5,44.5,44.5,44.4,44.7,45.1,45.8,46.9,48.4,50.1,51.0,51.2,51.5,51.6,51.2,50.6,49.4,47.0,44.2,42.7,42.9,43.4,43.7,44.2,44.6,44.8,44.9,45.5,45.9,46.6,47.5,48.9,50.8,52.1,53.1
43.9,43.9,44.2,44.7,45.3,46.5,48.6,50.8,51.7,51.8,43.4,44.0,44.6,45.3,46.2,47.6,49.9,52.2,52.8,53.2,52.9,52.7,51.6,49.5,45.9,43.3,43.4,43.6,43.8,44.0,44.1,44.4,45.0,44.9,45.2,45.3,45.9,46.5,47.5,49.0,51.6,52.9,53.5,53.5,53.2,53.0,52.0,50.4,47.1,44.1,43.7,43.5,43.6,43.8,44.3,44.2,44.2,44.1,44.2,44.6,45.0,45.7,46.7,48.5,50.2,50.9,51.3,51.7,51.7,51.4,50.6,49.4,47.3,44.5,42.9,43.1,43.5,43.9,44.3,44.6,44.7,45.0,45.4,46.0,46.8,47.6,48.9,50.9,52.2
