day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90
55.4,56.4,57.4,58.5,60.1,61.9,65.0,68.5,69.5,69.2,68.0,66.0,63.6,60.7,57.6,54.5,51.5,47.9,47.4,47.8,48.2,48.6,48.9,49.3,49.6,50.3,50.8,51.7,52.7,54.0,55.8,58.5,60.5,60.7,59.9,58.3,56.7,54.6,52.2,50.0,47.3,45.5,45.6,45.5,45.6,45.8,45.9,46.1,46.2,46.4,46.7,47.0,47.3,47.6,48.0,49.0,50.7,51.2,50.9,50.1,48.9,47.3,45.1,42.9,40.7,40.1,40.0,39.9,39.7,39.3,39.3,39.3,39.3,39.4,39.8,40.1,40.5,41.2,41.8,43.0,44.9,45.7,45.3,44.4,43.4,42.4,41.0,39.6,38.9,38.8,38.7
54.4,55.2,56.1,57.0,58.2,59.7,61.6,64.8,68.1,69.0,68.8,67.5,65.3,62.9,60.1,57.1,54.2,51.2,47.8,47.3,47.8,48.3,48.5,48.6,49.0,49.5,49.9,50.7,51.6,52.6,53.7,55.4,58.1,59.9,60.3,59.3,58.1,56.6,54.4,52.0,49.7,47.0,45.5,45.5,45.4,45.6,45.7,45.7,46.0,46.0,46.4,46.5,46.6,47.0,47.0,47.5,48.7,50.4,50.8,50.5,49.7,48.6,46.9,44.8,42.6,40.5,39.8,39.8,39.4,39.2,39.1,38.9,39.0,39.0,39.3,39.7,40.0,40.5,41.1,41.7,42.9,44.7,45.4,45.0,44.3,43.5,42.4,41.0,39.9,38.9,38.8
53.7,54.3,54.9,55.6,56.7,57.8,59.4,61.3,64.4,67.6,68.6,68.2,66.9,64.6,62.3,59.7,56.8,54.0,51.0,47.8,47.4,48.0,48.2,48.2,48.3,48.9,49.2,49.8,50.7,51.4,52.2,53.4,55.1,57.6,59.6,59.7,59.1,58.0,56.2,54.1,51.8,49.4,46.9,45.4,45.4,45.4,45.5,45.6,45.7,45.8,46.0,46.1,46.2,46.4,46.4,46.6,47.2,48.5,50.0,50.4,50.2,49.4,48.3,46.5,44.4,42.3,40.1,39.6,39.3,38.9,39.0,38.8,38.7,38.8,39.0,39.2,39.5,40.0,40.5,41.0,41.6,42.7,44.4,45.1,44.9,44.4,43.5,42.4,41.2,39.8,38.8
53.0,53.5,54.0,54.4,55.3,56.3,57.6,59.1,61.0,63.9,67.1,68.0,67.5,66.0,63.9,61.8,59.4,56.6,53.8,51.0,47.8,47.6,47.9,47.9,47.9,48.3,48.6,49.1,49.8,50.4,51.2,52.0,53.2,54.7,57.2,59.0,59.5,59.0,57.6,55.9,53.9,51.4,49.2,46.6,45.4,45.4,45.3,45.4,45.6,45.6,45.8,45.7,45.8,45.9,45.8,46.0,46.2,46.9,48.1,49.6,50.2,49.9,49.2,47.9,46.1,44.1,41.9,39.9,39.2,38.8,38.8,38.7,38.6,38.5,38.8,38.9,39.1,39.5,40.0,40.4,40.9,41.4,42.5,44.2,45.0,44.9,44.4,43.4,42.5,41.1,39.7
52.5,52.8,53.2,53.5,54.2,54.9,56.0,57.3,58.9,60.6,63.5,66.5,67.3,66.7,65.3,63.5,61.5,59.2,56.4,53.8,50.9,47.8,47.5,47.6,47.7,47.9,48.0,48.5,49.1,49.5,50.3,51.0,51.9,52.9,54.4,56.7,58.7,59.3,58.5,57.2,55.6,53.5,51.2,48.9,46.5,45.4,45.3,45.1,45.4,45.5,45.5,45.5,45.5,45.5,45.3,45.4,45.7,46.0,46.6,47.8,49.4,49.8,49.7,48.8,47.5,45.7,43.7,41.6,39.4,38.7,38.6,38.5,38.5,38.3,38.5,38.7,38.8,39.1,39.6,39.9,40.3,40.7,41.3,42.4,44.2,45.0,44.8,44.4,43.5,42.3,40.9
52.1,52.3,52.5,52.8,53.3,53.8,54.6,55.9,57.1,58.5,60.2,62.9,65.8,66.4,65.9,64.9,63.2,61.3,59.0,56.4,53.7,50.8,47.8,47.3,47.3,47.5,47.5,48.0,48.5,48.8,49.4,50.1,50.9,51.6,52.6,53.9,56.4,58.5,58.9,58.1,56.8,55.2,53.2,50.9,48.7,46.4,45.2,45.1,45.2,45.2,45.4,45.2,45.3,45.1,44.9,45.0,45.2,45.5,45.6,46.2,47.5,49.0,49.6,49.3,48.4,47.2,45.4,43.5,41.2,39.0,38.5,38.3,38.2,38.2,38.3,38.4,38.6,38.8,39.2,39.5,39.8,40.0,40.6,41.2,42.5,44.2,44.9,44.8,44.4,43.3,42.2
51.8,51.8,52.0,52.1,52.6,52.9,53.5,54.5,55.7,56.7,58.1,59.6,62.1,64.9,65.7,65.5,64.5,63.0,61.1,59.0,56.2,53.5,50.6,47.4,47.0,47.2,47.2,47.6,48.0,48.3,48.8,49.3,50.0,50.6,51.4,52.2,53.6,56.2,58.0,58.4,57.7,56.4,54.8,52.8,50.6,48.5,46.1,45.0,45.1,45.0,45.1,45.2,45.0,44.9,44.6,44.5,44.8,45.0,45.2,45.3,46.1,47.1,48.7,49.2,48.9,48.0,46.8,45.2,43.2,40.8,38.8,38.3,38.0,38.0,38.2,38.2,38.3,38.6,38.9,39.1,39.4,39.5,40.0,40.7,41.4,42.6,44.1,44.8,44.9,44.2,43.1
53.4,51.5,51.5,51.5,51.9,52.1,52.6,53.4,54.4,55.3,56.3,57.6,58.9,61.3,64.1,65.1,65.1,64.4,62.8,61.2,58.8,56.0,53.2,50.2,47.2,46.9,46.9,47.3,47.5,47.8,48.3,48.7,49.2,49.8,50.4,51.0,51.9,53.5,55.7,57.6,57.9,57.3,56.1,54.4,52.5,50.3,48.2,45.8,45.0,44.9,45.0,44.9,45.0,44.7,44.2,44.2,44.3,44.6,44.7,44.9,45.2,45.7,46.8,48.3,48.9,48.6,47.7,46.6,44.8,42.8,40.6,38.5,38.0,37.8,38.0,38.0,38.1,38.4,38.7,38.8,38.9,39.1,39.5,40.1,40.9,41.6,42.6,44.1,45.0,44.6,44.0
56.9,53.0,51.2,51.0,51.3,51.5,51.8,52.6,53.3,54.1,54.9,55.8,56.9,58.1,60.6,63.6,64.8,64.9,64.2,62.9,60.9,58.5,55.6,52.8,50.0,47.0,46.6,46.9,47.2,47.3,47.7,48.2,48.6,49.0,49.6,50.1,50.8,51.9,53.2,55.3,57.0,57.5,56.9,55.6,54.1,52.1,50.0,47.9,45.7,44.8,44.8,44.8,44.7,44.6,44.1,43.9,44.0,44.2,44.3,44.5,44.7,44.8,45.4,46.4,47.9,48.5,48.2,47.6,46.3,44.5,42.6,40.2,38.2,37.7,37.8,37.9,38.0,38.2,38.4,38.6,38.6,38.7,39.1,39.6,40.4,41.1,41.6,42.6,44.1,44.7,44.5
59.8,56.5,52.6,50.8,50.8,51.0,51.2,51.8,52.5,52.9,53.8,54.4,55.1,56.2,57.6,60.1,63.2,64.6,64.8,64.3,62.7,60.6,58.0,55.3,52.6,49.7,46.7,46.6,46.8,46.9,47.3,47.7,48.1,48.4,48.8,49.3,49.9,50.7,51.7,52.9,54.8,56.6,57.2,56.5,55.3,53.7,51.8,49.8,47.8,45.5,44.8,44.6,44.7,44.3,43.9,43.8,43.7,43.9,43.9,44.1,44.3,44.3,44.5,44.9,46.0,47.6,48.3,48.1,47.4,46.0,44.3,42.3,39.9,38.0,37.8,37.7,37.8,38.0,38.2,38.3,38.4,38.4,38.7,39.3,39.9,40.7,41.2,41.6,42.7,44.0,44.6
