day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88,day 89,day 90,day 91,day 92,day 93
49.0,50.7,52.5,54.7,56.8,58.4,59.9,61.0,61.1,61.1,60.7,59.9,58.5,57.1,55.6,53.9,52.2,50.5,49.0,48.5,49.1,49.7,50.3,51.2,52.0,53.2,55.0,57.0,58.4,59.5,60.1,60.9,61.5,61.6,61.3,60.4,59.2,57.6,55.9,54.2,52.6,51.3,50.4,50.4,50.5,50.8,51.3,52.0,52.7,53.7,54.9,56.7,58.6,60.0,61.0,61.6,61.7,61.6,61.1,60.1,58.5,56.9,55.0,52.8,50.3,48.2,47.8,47.8,47.8,48.0,48.4,48.9,49.4,50.2,51.2,52.4,54.4,56.4,57.6,58.1,58.3,58.4,58.0,56.7,55.2,53.3,50.8,48.0,45.4,44.1,43.9,43.5,43.5,43.4
47.8,49.0,50.6,52.6,54.8,57.0,58.7,60.3,61.0,61.4,61.3,60.8,59.9,58.5,57.4,55.9,54.1,52.3,50.6,49.1,48.8,49.2,49.8,50.3,51.2,51.9,53.2,55.1,56.8,58.3,59.5,60.2,61.2,61.8,61.6,61.2,60.5,59.3,57.5,55.9,54.2,52.6,51.2,50.3,50.4,50.4,51.0,51.4,52.0,52.7,53.6,54.9,56.6,58.5,59.9,61.0,61.5,61.6,61.6,61.0,59.7,58.4,56.7,54.7,52.5,50.0,47.9,47.4,47.6,47.7,47.8,48.4,48.8,49.5,50.1,51.1,52.2,54.1,56.1,57.3,57.9,58.3,58.3,57.7,56.5,55.1,53.0,50.4,47.6,45.0,43.6,43.4,43.2,43.0
46.8,47.8,49.0,50.7,52.7,54.9,57.2,59.1,60.4,61.3,61.5,61.4,60.8,59.9,58.9,57.8,56.1,54.3,52.5,50.7,49.3,48.9,49.4,49.8,50.3,51.1,51.9,53.3,55.0,56.7,58.3,59.5,60.5,61.4,61.7,61.6,61.3,60.6,59.2,57.6,55.9,54.2,52.6,51.1,50.2,50.3,50.6,50.9,51.4,52.0,52.6,53.6,54.8,56.5,58.4,59.9,60.9,61.5,61.6,61.4,60.6,59.6,58.2,56.5,54.5,52.2,49.7,47.5,47.3,47.5,47.6,47.8,48.3,48.8,49.4,50.1,50.9,51.9,53.9,55.8,57.1,58.0,58.2,58.0,57.4,56.3,54.8,52.7,50.1,47.2,44.4,43.1,43.2,42.7
46.0,46.8,47.9,49.1,50.8,52.8,55.2,57.6,59.2,60.6,61.4,61.7,61.5,60.9,60.3,59.2,57.9,56.1,54.4,52.6,50.9,49.4,49.1,49.3,49.8,50.3,51.1,52.0,53.2,54.8,56.6,58.3,59.7,60.7,61.4,61.7,61.7,61.5,60.5,59.2,57.6,56.0,54.3,52.5,51.1,50.1,50.3,50.6,51.0,51.5,51.9,52.6,53.6,54.7,56.3,58.3,59.7,60.9,61.5,61.5,61.1,60.4,59.3,58.1,56.4,54.2,51.9,49.3,47.3,47.2,47.4,47.5,47.7,48.2,48.7,49.3,49.8,50.6,51.6,53.5,55.5,57.1,57.8,57.9,57.8,57.3,56.0,54.5,52.4,49.7,46.7,43.9,42.9,42.7
45.4,46.1,47.0,48.0,49.1,50.9,53.0,55.6,57.8,59.4,60.7,61.5,61.8,61.6,61.3,60.6,59.3,58.0,56.3,54.5,52.6,51.0,49.6,49.1,49.3,49.8,50.4,51.3,52.1,53.2,54.8,56.6,58.4,59.9,60.6,61.4,61.8,61.8,61.4,60.6,59.2,57.7,56.0,54.2,52.6,51.0,50.2,50.3,50.7,51.1,51.4,51.9,52.6,53.5,54.5,56.2,58.2,59.7,60.8,61.3,61.2,60.9,60.2,59.3,58.0,56.2,53.9,51.6,49.1,47.2,47.1,47.4,47.5,47.7,48.2,48.7,49.0,49.6,50.3,51.3,53.2,55.5,56.9,57.5,57.6,57.6,57.0,55.7,54.1,51.9,49.2,46.2,43.6,42.4
45.1,45.5,46.3,47.1,48.0,49.3,51.1,53.4,55.8,58.0,59.5,60.8,61.6,61.9,62.0,61.5,60.6,59.4,58.1,56.4,54.5,52.7,51.1,49.6,49.1,49.4,49.9,50.5,51.4,52.1,53.2,54.8,56.8,58.6,59.8,60.6,61.5,61.9,61.7,61.5,60.5,59.3,57.8,56.0,54.3,52.5,51.1,50.1,50.4,50.8,51.1,51.4,52.0,52.5,53.2,54.4,56.1,58.2,59.5,60.7,61.1,60.9,60.7,60.2,59.3,57.7,55.9,53.7,51.4,49.0,47.1,47.0,47.3,47.4,47.6,48.1,48.4,48.8,49.3,50.1,51.1,53.2,55.3,56.6,57.2,57.5,57.3,56.6,55.4,53.7,51.5,48.6,45.8,43.0
46.1,45.2,45.7,46.4,47.1,48.1,49.5,51.4,53.7,56.0,58.1,59.6,60.9,61.7,62.3,62.2,61.5,60.7,59.5,58.2,56.4,54.6,52.8,51.0,49.7,49.1,49.5,50.0,50.7,51.4,52.1,53.2,54.9,57.0,58.5,59.8,60.7,61.6,61.9,61.8,61.4,60.6,59.4,57.8,56.1,54.3,52.7,51.1,50.2,50.4,50.7,51.0,51.5,51.9,52.4,53.2,54.4,56.0,58.0,59.4,60.5,60.8,60.7,60.7,60.2,59.1,57.5,55.7,53.5,51.3,48.8,47.0,46.9,47.2,47.3,47.5,47.7,48.1,48.6,49.2,50.0,51.1,53.0,55.0,56.4,57.1,57.2,56.9,56.3,55.0,53.2,51.0,48.2,45.1
48.1,46.1,45.4,45.8,46.4,47.2,48.4,49.8,51.7,53.8,56.1,58.1,59.7,61.1,62.1,62.5,62.2,61.6,60.8,59.6,58.1,56.5,54.6,52.7,51.0,49.6,49.2,49.5,50.1,50.8,51.4,52.2,53.3,55.0,56.9,58.4,59.9,60.8,61.6,61.9,61.8,61.5,60.7,59.4,57.9,56.1,54.5,52.7,51.1,50.3,50.3,50.6,51.1,51.4,51.6,52.2,53.1,54.3,55.8,57.8,59.2,60.1,60.7,60.7,60.7,60.0,58.8,57.3,55.6,53.4,51.1,48.7,46.9,46.9,47.1,47.2,47.2,47.4,47.9,48.4,49.2,50.1,51.0,52.7,54.7,56.2,56.7,56.8,56.6,55.8,54.5,52.7,50.5,47.6
50.1,48.1,46.3,45.5,45.8,46.5,47.5,48.7,50.2,51.9,54.0,56.2,58.2,59.9,61.4,62.2,62.5,62.3,61.7,60.9,59.6,58.2,56.4,54.5,52.7,51.0,49.7,49.2,49.7,50.2,50.8,51.4,52.3,53.4,55.0,56.8,58.6,59.9,60.8,61.6,61.9,62.0,61.6,60.7,59.6,57.9,56.3,54.6,52.7,51.2,50.2,50.2,50.6,51.0,51.2,51.5,52.1,53.0,54.1,55.7,57.6,58.9,59.9,60.7,60.7,60.6,59.7,58.7,57.1,55.5,53.2,51.0,48.6,46.8,46.8,47.0,46.8,46.9,47.3,47.8,48.5,49.3,50.0,50.8,52.4,54.5,55.8,56.3,56.4,56.2,55.4,53.9,52.2,49.8
52.1,50.0,48.1,46.3,45.5,46.0,46.7,47.9,49.1,50.3,52.1,54.1,56.4,58.5,60.2,61.5,62.2,62.5,62.4,61.8,60.8,59.6,58.2,56.3,54.5,52.7,51.0,49.7,49.4,49.8,50.3,50.8,51.5,52.4,53.6,55.0,56.9,58.5,59.9,60.8,61.5,62.0,62.1,61.8,60.9,59.5,58.1,56.5,54.6,52.7,51.0,50.1,50.3,50.5,50.7,51.0,51.3,52.0,52.9,53.9,55.4,57.3,58.7,60.0,60.7,60.5,60.3,59.6,58.5,57.0,55.3,53.1,50.8,48.5,46.8,46.7,46.6,46.5,46.9,47.3,47.8,48.5,49.2,49.8,50.6,52.2,54.1,55.4,56.0,56.0,55.7,54.8,53.4,51.6
