Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
46.0,32.0,17.45,47.5,46.1,40.7,27.15,9.899999999999999,61.8
45.2,31.3,17.0,46.9,45.5,40.2,26.9,9.7,61.2
44.2,30.9,16.7,46.4,44.9,39.7,26.7,9.45,60.599999999999994
43.5,30.8,16.45,46.0,44.7,39.3,26.4,9.35,60.25
43.5,30.2,16.1,45.5,44.2,38.8,26.15,9.35,59.9
42.9,29.9,15.850000000000001,45.1,43.9,38.4,25.9,9.100000000000001,59.349999999999994
42.4,29.7,15.5,44.8,43.8,38.150000000000006,25.8,9.0,59.05
42.1,29.6,15.350000000000001,44.5,43.8,37.849999999999994,25.7,8.95,58.85
43.7,29.8,15.45,45.0,44.5,38.1,25.7,9.1,59.8
48.0,32.0,17.85,48.2,49.4,40.95,27.15,10.7,63.1
52.2,34.3,20.45,51.6,54.5,44.0,29.2,11.3,66.5
55.2,36.7,23.0,54.6,58.3,46.5,30.8,11.75,69.69999999999999
58.0,38.7,24.4,56.9,58.8,48.7,32.3,12.8,71.85
60.1,40.1,25.6,58.6,58.7,50.4,33.25,14.05,72.69999999999999
61.5,41.0,26.05,59.5,59.4,51.5,34.0,15.05,72.9
62.6,41.2,26.0,59.6,58.7,52.0,33.95,15.65,72.4
62.9,40.6,25.299999999999997,58.7,57.4,51.9,33.6,15.9,71.55000000000001
61.0,38.8,23.4,56.9,55.6,50.0,32.0,16.05,70.0
56.7,36.9,21.5,54.3,53.0,46.6,30.4,15.65,66.85
53.5,35.6,20.25,52.3,51.1,44.85,29.0,15.0,64.8
51.7,34.6,19.6,50.9,50.0,43.8,28.5,14.149999999999999,63.849999999999994
49.5,33.6,18.95,49.9,48.9,42.650000000000006,28.1,13.5,63.2
48.5,33.0,18.4,49.1,48.0,42.0,27.75,13.15,62.6
47.0,32.4,17.85,48.0,47.0,41.2,27.35,12.8,62.15
46.1,32.0,17.5,47.4,46.3,40.55,27.1,12.350000000000001,61.4
45.2,31.6,17.05,47.0,45.7,40.0,26.75,12.05,60.75
43.9,31.2,16.8,46.4,45.3,39.4,26.45,11.9,60.2
43.3,30.8,16.6,45.9,44.9,39.0,26.25,11.55,59.849999999999994
43.5,30.2,16.05,45.5,44.5,38.4,25.95,11.55,59.5
42.9,29.9,15.9,45.1,44.2,37.95,25.7,11.25,58.95
42.4,30.0,15.4,44.7,44.1,37.7,25.6,11.1,58.65
42.1,29.8,15.2,44.4,44.1,37.45,25.55,11.0,58.45
43.9,29.7,15.7,45.0,44.8,37.849999999999994,25.55,11.15,59.349999999999994
48.2,32.1,17.95,48.0,49.7,40.8,27.25,13.149999999999999,62.7
52.4,34.3,20.95,51.4,54.7,43.8,29.05,13.4,66.15
55.6,36.6,23.0,54.6,58.4,46.349999999999994,30.8,13.55,69.4
58.3,38.6,24.45,56.8,58.9,48.650000000000006,32.45,14.8,71.55
60.4,40.0,25.65,58.5,58.8,50.4,33.45,16.25,72.4
61.8,40.9,26.200000000000003,59.4,59.5,51.55,33.95,17.05,72.6
63.0,41.0,26.25,59.5,58.9,52.05,34.05,17.200000000000003,72.05000000000001
63.2,40.5,25.5,58.7,57.5,51.8,33.45,16.85,71.25
61.4,38.8,23.65,56.8,55.7,49.95,31.95,16.05,69.69999999999999
57.1,36.9,21.7,54.2,53.1,46.849999999999994,30.55,15.399999999999999,66.5
53.9,35.6,20.4,52.2,51.2,44.95,29.2,14.850000000000001,64.44999999999999
51.9,34.6,19.75,51.0,50.2,43.8,28.45,14.05,63.5
49.9,33.6,19.1,49.8,49.0,42.75,28.0,13.3,62.849999999999994
48.7,32.8,18.45,49.1,48.3,42.0,27.7,12.95,62.2
47.3,32.4,17.85,48.0,47.3,41.3,27.3,12.55,61.75
46.9,31.9,17.55,47.5,46.6,40.650000000000006,26.95,12.2,61.05
46.1,31.7,17.1,46.9,46.0,39.95,26.65,12.0,60.45
45.4,31.3,16.9,46.4,45.4,39.5,26.3,11.75,59.849999999999994
44.6,30.9,16.55,45.9,45.0,38.9,26.05,11.3,59.5
44.2,30.4,16.0,45.6,44.6,38.349999999999994,25.75,11.15,59.1
43.4,30.1,16.05,45.2,44.3,38.0,25.45,10.85,58.6
42.7,29.8,15.5,44.7,44.2,37.75,25.35,10.8,58.3
42.4,29.5,15.35,44.6,44.1,37.55,25.25,10.75,58.15
45.4,29.5,16.0,45.1,44.9,37.75,25.299999999999997,10.95,58.95
48.6,32.0,17.9,48.1,50.4,40.8,27.2,12.899999999999999,62.45
52.7,34.2,20.95,51.4,55.3,43.7,28.85,13.2,66.0
56.2,36.6,22.85,54.4,58.9,46.349999999999994,31.15,13.35,69.19999999999999
59.1,38.5,24.5,56.8,60.0,48.55,32.5,14.65,71.45
61.0,39.8,25.45,58.5,60.2,50.349999999999994,33.6,16.15,72.35
62.0,40.8,26.15,59.3,59.9,51.45,34.150000000000006,16.9,72.6
63.2,41.2,26.3,59.6,59.8,52.2,34.1,17.1,72.1
63.5,40.8,25.65,58.9,59.0,51.849999999999994,33.6,16.7,71.25
61.9,38.6,23.75,57.0,56.2,49.95,32.05,16.05,69.80000000000001
58.1,36.8,22.1,54.3,53.6,47.05,30.4,15.4,66.6
54.4,35.5,20.75,52.3,51.4,45.05,29.45,14.899999999999999,64.55000000000001
